Feature,Model,BACC,Sensitivity,Specificity,MCC,AUROC,AUPRC,F1 Score
KRFPC,XGB,0.406,0.511,0.3,-0.188,0.406,0.561,0.517
KRFP,RF,0.483,0.933,0.033,-0.073,0.483,0.592,0.724
KRFP,SVM,0.511,0.889,0.133,0.034,0.511,0.605,0.721
KRFP,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
MACCS,RF,0.506,0.844,0.167,0.015,0.506,0.603,0.704
MACCS,SVM,0.544,0.822,0.267,0.106,0.544,0.622,0.712
MACCS,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
PubChem,RF,0.5,0.867,0.133,0.0,0.5,0.6,0.709
PubChem,SVM,0.478,0.822,0.133,-0.059,0.478,0.59,0.685
PubChem,XGB,0.467,0.6,0.333,-0.068,0.467,0.585,0.587
SubFPC,RF,0.517,0.933,0.1,0.06,0.517,0.608,0.737
SubFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
SubFPC,XGB,0.683,0.733,0.633,0.365,0.683,0.71,0.742
SubFP,RF,0.506,0.911,0.1,0.019,0.506,0.603,0.726
SubFP,SVM,0.611,0.889,0.333,0.272,0.611,0.659,0.762
SubFP,XGB,0.772,0.844,0.7,0.551,0.772,0.776,0.826
Combined,RF,0.489,0.844,0.133,-0.031,0.489,0.595,0.697
Combined,SVM,0.494,0.756,0.233,-0.013,0.494,0.597,0.667
Combined,XGB,0.583,0.733,0.433,0.173,0.583,0.644,0.695
Stacked_All,Stacked_XGB,0.739,0.844,0.633,0.492,0.739,0.748,0.809
AP2DC,RF,0.539,0.911,0.167,0.117,0.539,0.619,0.739
AP2DC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
AP2DC,XGB,0.461,0.689,0.233,-0.085,0.461,0.582,0.626
AD2D,RF,0.439,0.778,0.1,-0.158,0.439,0.572,0.654
AD2D,SVM,0.433,0.8,0.067,-0.185,0.433,0.57,0.661
AD2D,XGB,0.539,0.644,0.433,0.078,0.539,0.62,0.637
EState,RF,0.506,0.844,0.167,0.015,0.506,0.603,0.704
EState,SVM,0.533,0.733,0.333,0.072,0.533,0.617,0.673
EState,XGB,0.583,0.667,0.5,0.167,0.583,0.644,0.667
CDKExt,RF,0.467,0.8,0.133,-0.086,0.467,0.585,0.673
CDKExt,SVM,0.533,0.8,0.267,0.078,0.533,0.617,0.699
CDKExt,XGB,0.556,0.711,0.4,0.115,0.556,0.628,0.674
CDK,RF,0.489,0.844,0.133,-0.031,0.489,0.595,0.697
CDK,SVM,0.528,0.756,0.3,0.062,0.528,0.614,0.68
CDK,XGB,0.478,0.622,0.333,-0.045,0.478,0.59,0.602
CDKGraph,RF,0.567,1.0,0.133,0.291,0.567,0.634,0.776
CDKGraph,SVM,0.522,0.911,0.133,0.071,0.522,0.611,0.732
CDKGraph,XGB,0.533,0.6,0.467,0.066,0.533,0.617,0.614
KRFPC,RF,0.5,1.0,0.0,0.0,0.5,0.6,0.75
KRFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
KRFPC,XGB,0.406,0.511,0.3,-0.188,0.406,0.561,0.517
KRFP,RF,0.489,0.978,0.0,-0.095,0.489,0.595,0.739
KRFP,SVM,0.511,0.889,0.133,0.034,0.511,0.605,0.721
KRFP,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
MACCS,RF,0.5,0.867,0.133,0.0,0.5,0.6,0.709
MACCS,SVM,0.544,0.822,0.267,0.106,0.544,0.622,0.712
MACCS,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
PubChem,RF,0.5,0.867,0.133,0.0,0.5,0.6,0.709
PubChem,SVM,0.478,0.822,0.133,-0.059,0.478,0.59,0.685
PubChem,XGB,0.467,0.6,0.333,-0.068,0.467,0.585,0.587
SubFPC,RF,0.517,0.933,0.1,0.06,0.517,0.608,0.737
SubFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
SubFPC,XGB,0.683,0.733,0.633,0.365,0.683,0.71,0.742
SubFP,RF,0.489,0.911,0.067,-0.04,0.489,0.595,0.719
SubFP,SVM,0.611,0.889,0.333,0.272,0.611,0.659,0.762
SubFP,XGB,0.772,0.844,0.7,0.551,0.772,0.776,0.826
Combined,RF,0.483,0.867,0.1,-0.05,0.483,0.592,0.703
Combined,SVM,0.494,0.756,0.233,-0.013,0.494,0.597,0.667
Combined,XGB,0.583,0.733,0.433,0.173,0.583,0.644,0.695
Stacked_All,Stacked_XGB,0.678,0.822,0.533,0.373,0.678,0.703,0.771
AP2DC,RF,0.517,0.867,0.167,0.046,0.517,0.608,0.716
AP2DC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
AP2DC,XGB,0.461,0.689,0.233,-0.085,0.461,0.582,0.626
AD2D,RF,0.4,0.8,0.0,-0.302,0.4,0.556,0.649
AD2D,SVM,0.433,0.8,0.067,-0.185,0.433,0.57,0.661
AD2D,XGB,0.539,0.644,0.433,0.078,0.539,0.62,0.637
EState,RF,0.506,0.844,0.167,0.015,0.506,0.603,0.704
EState,SVM,0.533,0.733,0.333,0.072,0.533,0.617,0.673
EState,XGB,0.583,0.667,0.5,0.167,0.583,0.644,0.667
CDKExt,RF,0.489,0.844,0.133,-0.031,0.489,0.595,0.697
CDKExt,SVM,0.533,0.8,0.267,0.078,0.533,0.617,0.699
CDKExt,XGB,0.556,0.711,0.4,0.115,0.556,0.628,0.674
CDK,RF,0.478,0.822,0.133,-0.059,0.478,0.59,0.685
CDK,SVM,0.528,0.756,0.3,0.062,0.528,0.614,0.68
CDK,XGB,0.478,0.622,0.333,-0.045,0.478,0.59,0.602
CDKGraph,RF,0.528,0.956,0.1,0.109,0.528,0.614,0.748
CDKGraph,SVM,0.522,0.911,0.133,0.071,0.522,0.611,0.732
CDKGraph,XGB,0.533,0.6,0.467,0.066,0.533,0.617,0.614
KRFPC,RF,0.478,0.956,0.0,-0.135,0.478,0.59,0.729
KRFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
KRFPC,XGB,0.406,0.511,0.3,-0.188,0.406,0.561,0.517
KRFP,RF,0.489,0.978,0.0,-0.095,0.489,0.595,0.739
KRFP,SVM,0.511,0.889,0.133,0.034,0.511,0.605,0.721
KRFP,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
MACCS,RF,0.528,0.889,0.167,0.08,0.528,0.614,0.727
MACCS,SVM,0.544,0.822,0.267,0.106,0.544,0.622,0.712
MACCS,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
PubChem,RF,0.439,0.844,0.033,-0.194,0.439,0.572,0.679
PubChem,SVM,0.478,0.822,0.133,-0.059,0.478,0.59,0.685
PubChem,XGB,0.467,0.6,0.333,-0.068,0.467,0.585,0.587
SubFPC,RF,0.533,0.933,0.133,0.112,0.533,0.616,0.743
SubFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
SubFPC,XGB,0.683,0.733,0.633,0.365,0.683,0.71,0.742
SubFP,RF,0.506,0.911,0.1,0.019,0.506,0.603,0.726
SubFP,SVM,0.611,0.889,0.333,0.272,0.611,0.659,0.762
SubFP,XGB,0.772,0.844,0.7,0.551,0.772,0.776,0.826
Combined,RF,0.444,0.822,0.067,-0.16,0.444,0.575,0.673
Combined,SVM,0.494,0.756,0.233,-0.013,0.494,0.597,0.667
Combined,XGB,0.583,0.733,0.433,0.173,0.583,0.644,0.695
Stacked_All,Stacked_XGB,0.6,0.733,0.467,0.206,0.6,0.654,0.702
AP2DC,RF,0.506,0.911,0.1,0.019,0.506,0.603,0.726
AP2DC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
AP2DC,XGB,0.461,0.689,0.233,-0.085,0.461,0.582,0.626
AD2D,RF,0.422,0.844,0.0,-0.262,0.422,0.565,0.673
AD2D,SVM,0.433,0.8,0.067,-0.185,0.433,0.57,0.661
AD2D,XGB,0.539,0.644,0.433,0.078,0.539,0.62,0.637
EState,RF,0.439,0.844,0.033,-0.194,0.439,0.572,0.679
EState,SVM,0.533,0.733,0.333,0.072,0.533,0.617,0.673
EState,XGB,0.583,0.667,0.5,0.167,0.583,0.644,0.667
CDKExt,RF,0.456,0.844,0.067,-0.134,0.456,0.58,0.685
CDKExt,SVM,0.533,0.8,0.267,0.078,0.533,0.617,0.699
CDKExt,XGB,0.556,0.711,0.4,0.115,0.556,0.628,0.674
CDK,RF,0.5,0.867,0.133,0.0,0.5,0.6,0.709
CDK,SVM,0.528,0.756,0.3,0.062,0.528,0.614,0.68
CDK,XGB,0.478,0.622,0.333,-0.045,0.478,0.59,0.602
CDKGraph,RF,0.511,0.956,0.067,0.048,0.511,0.605,0.741
CDKGraph,SVM,0.522,0.911,0.133,0.071,0.522,0.611,0.732
CDKGraph,XGB,0.533,0.6,0.467,0.066,0.533,0.617,0.614
KRFPC,RF,0.5,1.0,0.0,0.0,0.5,0.6,0.75
KRFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
KRFPC,XGB,0.406,0.511,0.3,-0.188,0.406,0.561,0.517
KRFP,RF,0.478,0.956,0.0,-0.135,0.478,0.59,0.729
KRFP,SVM,0.511,0.889,0.133,0.034,0.511,0.605,0.721
KRFP,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
MACCS,RF,0.544,0.889,0.2,0.123,0.544,0.622,0.734
MACCS,SVM,0.544,0.822,0.267,0.106,0.544,0.622,0.712
MACCS,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
PubChem,RF,0.472,0.844,0.1,-0.08,0.472,0.587,0.691
PubChem,SVM,0.478,0.822,0.133,-0.059,0.478,0.59,0.685
PubChem,XGB,0.467,0.6,0.333,-0.068,0.467,0.585,0.587
SubFPC,RF,0.55,0.933,0.167,0.159,0.55,0.625,0.75
SubFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
SubFPC,XGB,0.683,0.733,0.633,0.365,0.683,0.71,0.742
SubFP,RF,0.55,0.933,0.167,0.159,0.55,0.625,0.75
SubFP,SVM,0.611,0.889,0.333,0.272,0.611,0.659,0.762
SubFP,XGB,0.772,0.844,0.7,0.551,0.772,0.776,0.826
Combined,RF,0.472,0.844,0.1,-0.08,0.472,0.587,0.691
Combined,SVM,0.494,0.756,0.233,-0.013,0.494,0.597,0.667
Combined,XGB,0.583,0.733,0.433,0.173,0.583,0.644,0.695
Stacked_All,Stacked_XGB,0.644,0.689,0.6,0.286,0.644,0.683,0.705
AP2DC,RF,0.517,0.867,0.167,0.046,0.517,0.608,0.716
AP2DC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
AP2DC,XGB,0.461,0.689,0.233,-0.085,0.461,0.582,0.626
AD2D,RF,0.411,0.822,0.0,-0.282,0.411,0.561,0.661
AD2D,SVM,0.433,0.8,0.067,-0.185,0.433,0.57,0.661
AD2D,XGB,0.539,0.644,0.433,0.078,0.539,0.62,0.637
EState,RF,0.456,0.844,0.067,-0.134,0.456,0.58,0.685
EState,SVM,0.533,0.733,0.333,0.072,0.533,0.617,0.673
AP2DC,RF,0.506,0.911,0.1,0.019,0.506,0.603,0.726
AP2DC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
AP2DC,XGB,0.461,0.689,0.233,-0.085,0.461,0.582,0.626
AD2D,RF,0.411,0.822,0.0,-0.282,0.411,0.561,0.661
AD2D,SVM,0.433,0.8,0.067,-0.185,0.433,0.57,0.661
AD2D,XGB,0.539,0.644,0.433,0.078,0.539,0.62,0.637
EState,RF,0.561,0.889,0.233,0.163,0.561,0.631,0.741
EState,SVM,0.533,0.733,0.333,0.072,0.533,0.617,0.673
EState,XGB,0.583,0.667,0.5,0.167,0.583,0.644,0.667
CDKExt,RF,0.489,0.911,0.067,-0.04,0.489,0.595,0.719
CDKExt,SVM,0.533,0.8,0.267,0.078,0.533,0.617,0.699
CDKExt,XGB,0.556,0.711,0.4,0.115,0.556,0.628,0.674
CDK,RF,0.456,0.844,0.067,-0.134,0.456,0.58,0.685
CDK,SVM,0.528,0.756,0.3,0.062,0.528,0.614,0.68
CDK,XGB,0.478,0.622,0.333,-0.045,0.478,0.59,0.602
CDKGraph,RF,0.5,0.933,0.067,0.0,0.5,0.6,0.73
CDKGraph,SVM,0.522,0.911,0.133,0.071,0.522,0.611,0.732
CDKGraph,XGB,0.533,0.6,0.467,0.066,0.533,0.617,0.614
KRFPC,RF,0.5,1.0,0.0,0.0,0.5,0.6,0.75
KRFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
KRFPC,XGB,0.406,0.511,0.3,-0.188,0.406,0.561,0.517
KRFP,RF,0.489,0.978,0.0,-0.095,0.489,0.595,0.739
KRFP,SVM,0.511,0.889,0.133,0.034,0.511,0.605,0.721
KRFP,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
MACCS,RF,0.528,0.889,0.167,0.08,0.528,0.614,0.727
MACCS,SVM,0.544,0.822,0.267,0.106,0.544,0.622,0.712
MACCS,XGB,0.617,0.733,0.5,0.238,0.617,0.664,0.71
PubChem,RF,0.472,0.844,0.1,-0.08,0.472,0.587,0.691
PubChem,SVM,0.478,0.822,0.133,-0.059,0.478,0.59,0.685
PubChem,XGB,0.467,0.6,0.333,-0.068,0.467,0.585,0.587
SubFPC,RF,0.6,0.933,0.267,0.277,0.6,0.653,0.771
SubFPC,SVM,0.5,1.0,0.0,0.0,0.5,0.6,0.75
SubFPC,XGB,0.683,0.733,0.633,0.365,0.683,0.71,0.742
SubFP,RF,0.55,0.933,0.167,0.159,0.55,0.625,0.75
SubFP,SVM,0.611,0.889,0.333,0.272,0.611,0.659,0.762
SubFP,XGB,0.772,0.844,0.7,0.551,0.772,0.776,0.826
Combined,RF,0.472,0.844,0.1,-0.08,0.472,0.587,0.691
Combined,SVM,0.494,0.756,0.233,-0.013,0.494,0.597,0.667
Combined,XGB,0.583,0.733,0.433,0.173,0.583,0.644,0.695
Stacked_All,Stacked_XGB,0.75,0.8,0.7,0.5,0.75,0.76,0.8
